Tree,Branch,Trial,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,measured diameter,W1 Diameter,W2 Diameter,Mean Diameter,Median Diameter,Contact,Distance from Tree,Time (s),Angle Correction,Angle Correction Direction,Notes
1,3,4,-0.9839020371437073,-2.5699311695494593,-0.1503227392779749,0.38845209657635493,0.706967294216156,1.539878487586975,1.00,0.9978740811347961,0.9770850539207458,1.0103474855422974,1.0082685947418213,center,9.0,55.55,0.08726650000000001,CW,"Correction Allowed, One failed because video was missing data points"
1,3,5,-0.979640781879425,-2.570083280602926,-0.1508396307574671,0.3861909347721557,0.7078954577445984,1.5826964378356934,1.00,1.0123664140701294,1.0123664140701294,1.037153720855713,1.0384583473205566,center,9.0,52.85,0.08726650000000001,CW,Correction Allowed
1,3,6,-0.9825572967529297,-2.571766515771383,-0.1493437925921839,0.3880329567142944,0.7074064612388611,1.504021167755127,1.00,1.0391533374786377,1.023288369178772,1.4343972206115723,1.3643845319747925,center,7.0,47.45,0.0,CW,No Correction Allowed
1,3,7,-0.986248791217804,-2.569730897943014,-0.15163976350893194,0.3892238575169067,0.7078787088394165,1.5239585638046265,1.00,1.0462744235992432,1.0462744235992432,1.3554009199142456,1.5694116353988647,center,7.0,45.95,0.0,CW,No Correction Allowed
1,3,8,-0.9829846024513245,-2.571197649041647,-0.15038711229433233,0.3876573282429199,0.7093073129653931,1.5169317722320557,1.00,0.0,0.0,1.44096839427948,0.6936559081077576,center,7.0,44.85,0.0,CW,"No Correction Allowed, sunlight is hitting the dowel directly"
1,3,9,-0.979121744632721,-2.5717789135374964,-0.15207177797426397,0.387421651477478,0.709511399269104,1.530840516090393,1.00,1.0218573808670044,1.0218573808670044,0.9936498999595642,1.0138741731643677,center,7.0,48.25,0.0,CW,No Correction Allowed (Doing and extra run because last one didn't give a diameter
1,3,10,-0.9750243425369263,-2.5742184124388636,-0.15208036104311162,0.38411228239025874,0.7098077535629272,1.5960026979446411,1.00,1.0096620321273804,0.9615828990936279,0.6920866370201111,0.45675188302993774,center,7.0,45.95,0.08726650000000001,CW,Correction Allowed
1,3,11,-0.9712722897529602,-2.5762106380858363,-0.15437251726259404,0.38235823690380855,0.7106958627700806,1.600272536277771,1.00,1.080796241760254,1.080796241760254,1.076763391494751,1.076763391494751,center,7.0,49.95,0.08726650000000001,CW,Correction Allowed
1,4,1,-1.0497946739196777,-2.53802551845693,-0.1420653502093714,0.4200522142597656,0.6983554363250732,1.5450654029846191,1.25,1.2931368350982666,1.2931368350982666,1.2602952718734741,1.2520848512649536,center,9.0,47.92,0.0,CW,"No Correction Allowed, failed because video had no data points"
1,4,2,-1.0405231714248657,-2.54094996074819,-0.14356977144350225,0.41605321943249507,0.7004191875457764,1.5320907831192017,1.25,1.1907377243041992,1.1907377243041992,1.0239193439483643,0.7972766160964966,center,9.0,50.42,0.0,CW,No Correction Allowed
1,4,3,-1.027132272720337,-2.548178335229391,-0.14479047456850225,0.40872828542675776,0.7024580240249634,1.5467091798782349,1.25,1.3184653520584106,1.2661452293395996,1.1719691753387451,1.2766093015670776,center,9.0,48.72,0.0,CW,No Correction Allowed
1,4,4,-1.0224711894989014,-2.5495578251280726,-0.14944297472109014,0.40699438631024165,0.7053950428962708,1.5962951183319092,1.25,1.3193681240081787,1.287703275680542,1.3114519119262695,1.314090609550476,right,9.0,56.92,0.08726650000000001,CW,Correction Allowed
1,4,5,-1.330228567123413,-2.3939110241331996,-0.03841525713075811,0.5523561674305419,0.5956068634986877,1.552382230758667,1.25,1.3193681240081787,1.287703275680542,1.3114519119262695,1.314090609550476,,9.0,56.92,0.08726650000000001,CW,"Correction Allowed, One Fail because no middle lines "
1,4,6,-1.006306767463684,-2.556993623773092,-0.15127164522279912,0.3994298416325073,0.7078956961631775,1.5620852708816528,1.25,1.3027504682540894,1.270715594291687,1.3027504682540894,1.3027504682540894,right,9.0,60.12,0.08726650000000001,CW,Correction Allowed
1,4,7,-0.9995726943016052,-2.561577936212057,-0.1517241636859339,0.3960859018513183,0.7077670097351074,1.4909570217132568,1.25,1.3901379108428955,1.3901379108428955,2.0284230709075928,1.9904247522354126,right,7.0,45.15,0.0,CW,"No Correction Allowed, two fail because no middle lines"
1,4,8,-0.9937500953674316,-2.5648099384703578,-0.15046722093691045,0.3928515154072265,0.7074947357177734,1.488097071647644,1.25,1.34867262840271,1.277272343635559,1.2534722089767456,1.2891724109649658,right,7.0,41.15,0.0,CW,No Correction Allowed
1,4,9,-0.9930277466773987,-2.56435026744985,-0.15199214616884404,0.39257196962322993,0.7081029415130615,1.4740842580795288,1.25,1.3722525835037231,1.3008637428283691,1.1068106889724731,1.312761902809143,right,7.0,39.95,0.0,CW,No Correction Allowed
1,4,10,-0.9927646517753601,-2.566418787042135,-0.1530078093158167,0.3930118519016723,0.7080466747283936,1.5560331344604492,1.25,1.3653221130371094,1.3176945447921753,1.2318792343139648,1.3415082693099976,right,7.0,46.45,0.08726650000000001,CW,"Correction Allowed, One fail because no middle lines"
1,4,11,-0.9899274706840515,-2.566054960290426,-0.14961558977235967,0.3911743599125366,0.7067232131958008,1.5652457475662231,1.25,1.3006422519683838,1.284780740737915,1.294694185256958,1.2927114963531494,center,7.0,52.06,0.08726650000000001,CW,Correction Allowed
